URN,RELDENOM,EGENDER,KS2APS,TTAPSCP_PTQ_EE
102784,Does not apply,MIXED,25.4,286.2
102775,Does not apply,MIXED,26.8,328.4
132058,Does not apply,MIXED,27.3,328.5
140373,Does not apply,MIXED,26.9,300.5
102778,Does not apply,MIXED,27.6,339.7
102776,Does not apply,MIXED,26.7,327.2
141082,None,MIXED,,
102782,Does not apply,GIRLS,27.4,350.7
134627,None,GIRLS,NP,346.5
102777,Does not apply,BOYS,26.6,307.7
131929,None,MIXED,23.8,277.5
102786,Roman Catholic,GIRLS,28.8,359.7
102787,Roman Catholic,BOYS,28.3,342.1
102785,Does not apply,GIRLS,27.7,341
138196,None,MIXED,,
136978,None,MIXED,27.8,334.9
136052,None,MIXED,NP,17.5
141255,Does not apply,MIXED,4,NE
,,,27.1,321.9
138518,None,MIXED,,
102875,Church of England,MIXED,NP,445.4
140575,Does not apply,MIXED,28,347.8
102849,Does not apply,MIXED,27.5,319.2
136267,None,MIXED,27.4,332.5
102868,None,MIXED,NP,351.7
137692,None,MIXED,26.2,296.7
102850,Does not apply,BOYS,32.3,419.4
102876,None,MIXED,NP,358.6
102861,Jewish,MIXED,28,345.3
140475,Does not apply,MIXED,27.1,337.5
102858,None,MIXED,26.1,298
133405,Does not apply,MIXED,27.6,320.6
137088,Roman Catholic,MIXED,27.7,327.8
102873,None,GIRLS,NP,353.7
